time_ns,clk,reset,pix_en,hsync,vsync,video_on,x,y
0.000,0,1,x,x,x,x,x,x
525.000,1,0,0,1,1,1,9,0
530.000,0,0,0,1,1,1,9,0
535.000,1,0,0,1,1,1,9,0
540.000,0,0,0,1,1,1,9,0
545.000,1,0,0,1,1,1,9,0
550.000,0,0,1,1,1,1,9,0
555.000,1,0,1,1,1,1,9,0
560.000,0,0,0,1,1,1,10,0
565.000,1,0,0,1,1,1,10,0
570.000,0,0,0,1,1,1,10,0
575.000,1,0,0,1,1,1,10,0
580.000,0,0,0,1,1,1,10,0
585.000,1,0,0,1,1,1,10,0
590.000,0,0,1,1,1,1,10,0
595.000,1,0,1,1,1,1,10,0
600.000,0,0,0,1,1,1,11,0
605.000,1,0,0,1,1,1,11,0
610.000,0,0,0,1,1,1,11,0
615.000,1,0,0,1,1,1,11,0
620.000,0,0,0,1,1,1,11,0
625.000,1,0,0,1,1,1,11,0
630.000,0,0,1,1,1,1,11,0
635.000,1,0,1,1,1,1,11,0
640.000,0,0,0,1,1,1,12,0
645.000,1,0,0,1,1,1,12,0
650.000,0,0,0,1,1,1,12,0
655.000,1,0,0,1,1,1,12,0
660.000,0,0,0,1,1,1,12,0
665.000,1,0,0,1,1,1,12,0
670.000,0,0,1,1,1,1,12,0
675.000,1,0,1,1,1,1,12,0
680.000,0,0,0,1,1,1,13,0
685.000,1,0,0,1,1,1,13,0
690.000,0,0,0,1,1,1,13,0
695.000,1,0,0,1,1,1,13,0
700.000,0,0,0,1,1,1,13,0
705.000,1,0,0,1,1,1,13,0
710.000,0,0,1,1,1,1,13,0
715.000,1,0,1,1,1,1,13,0
720.000,0,0,0,1,1,1,14,0
725.000,1,0,0,1,1,1,14,0
730.000,0,0,0,1,1,1,14,0
735.000,1,0,0,1,1,1,14,0
740.000,0,0,0,1,1,1,14,0
745.000,1,0,0,1,1,1,14,0
750.000,0,0,1,1,1,1,14,0
755.000,1,0,1,1,1,1,14,0
760.000,0,0,0,1,1,1,15,0
765.000,1,0,0,1,1,1,15,0
770.000,0,0,0,1,1,1,15,0
775.000,1,0,0,1,1,1,15,0
780.000,0,0,0,1,1,1,15,0
785.000,1,0,0,1,1,1,15,0
790.000,0,0,1,1,1,1,15,0
795.000,1,0,1,1,1,1,15,0
