time_ns,clk,reset,sw,hsync,vsync,led,vgaR,vgaG,vgaB,pix_en,video_on,x,y
36320195.000,1,0,5,1,1,6,15,15,15,1,1,0,85
36352195.000,1,0,5,1,1,6,15,15,15,1,1,0,86
36384195.000,1,0,5,1,1,6,15,15,15,1,1,0,87
36416195.000,1,0,5,1,1,6,15,15,15,1,1,0,88
36448195.000,1,0,5,1,1,6,15,15,15,1,1,0,89
36480195.000,1,0,5,1,1,6,15,15,15,1,1,0,90
36512195.000,1,0,5,1,1,6,15,15,15,1,1,0,91
36544195.000,1,0,5,1,1,6,15,15,15,1,1,0,92
36576195.000,1,0,5,1,1,6,15,15,15,1,1,0,93
36608195.000,1,0,5,1,1,6,15,15,15,1,1,0,94
36640195.000,1,0,5,1,1,6,15,15,15,1,1,0,95
36672195.000,1,0,5,1,1,6,15,15,15,1,1,0,96
36704195.000,1,0,5,1,1,6,15,15,15,1,1,0,97
36736195.000,1,0,5,1,1,6,15,15,15,1,1,0,98
36768195.000,1,0,5,1,1,6,15,15,15,1,1,0,99
36800195.000,1,0,5,1,1,6,15,15,15,1,1,0,100
36832195.000,1,0,5,1,1,6,15,15,15,1,1,0,101
36864195.000,1,0,5,1,1,6,15,15,15,1,1,0,102
36896195.000,1,0,5,1,1,6,15,15,15,1,1,0,103
36928195.000,1,0,5,1,1,6,15,15,15,1,1,0,104
36960195.000,1,0,5,1,1,6,15,15,15,1,1,0,105
36992195.000,1,0,5,1,1,6,15,15,15,1,1,0,106
37024195.000,1,0,5,1,1,6,15,15,15,1,1,0,107
37056195.000,1,0,5,1,1,6,15,15,15,1,1,0,108
37088195.000,1,0,5,1,1,6,15,15,15,1,1,0,109
37120195.000,1,0,5,1,1,6,15,15,15,1,1,0,110
37152195.000,1,0,5,1,1,6,15,15,15,1,1,0,111
37184195.000,1,0,5,1,1,6,15,15,15,1,1,0,112
37216195.000,1,0,5,1,1,6,15,15,15,1,1,0,113
37248195.000,1,0,5,1,1,6,15,15,15,1,1,0,114
37280195.000,1,0,5,1,1,6,15,15,15,1,1,0,115
37312195.000,1,0,5,1,1,6,15,15,15,1,1,0,116
37344195.000,1,0,5,1,1,6,15,15,15,1,1,0,117
37376195.000,1,0,5,1,1,6,15,15,15,1,1,0,118
37408195.000,1,0,5,1,1,6,15,15,15,1,1,0,119
37440195.000,1,0,5,1,1,6,15,15,15,1,1,0,120
37472195.000,1,0,5,1,1,6,15,15,15,1,1,0,121
37504195.000,1,0,5,1,1,6,15,15,15,1,1,0,122
37536195.000,1,0,5,1,1,6,15,15,15,1,1,0,123
37568195.000,1,0,5,1,1,6,15,15,15,1,1,0,124
37600195.000,1,0,5,1,1,6,15,15,15,1,1,0,125
37632195.000,1,0,5,1,1,6,15,15,15,1,1,0,126
37664195.000,1,0,5,1,1,6,15,15,15,1,1,0,127
37696195.000,1,0,5,1,1,6,15,15,15,1,1,0,128
37728195.000,1,0,5,1,1,6,15,15,15,1,1,0,129
37760195.000,1,0,5,1,1,6,15,15,15,1,1,0,130
37792195.000,1,0,5,1,1,6,15,15,15,1,1,0,131
37824195.000,1,0,5,1,1,6,15,15,15,1,1,0,132
37856195.000,1,0,5,1,1,6,15,15,15,1,1,0,133
37888195.000,1,0,5,1,1,6,15,15,15,1,1,0,134
37920195.000,1,0,5,1,1,6,15,15,15,1,1,0,135
37952195.000,1,0,5,1,1,6,15,15,15,1,1,0,136
37984195.000,1,0,5,1,1,6,15,15,15,1,1,0,137
38016195.000,1,0,5,1,1,6,15,15,15,1,1,0,138
38048195.000,1,0,5,1,1,6,15,15,15,1,1,0,139
38080195.000,1,0,5,1,1,6,15,15,15,1,1,0,140
38112195.000,1,0,5,1,1,6,15,15,15,1,1,0,141
38144195.000,1,0,5,1,1,6,15,15,15,1,1,0,142
38176195.000,1,0,5,1,1,6,15,15,15,1,1,0,143
38208195.000,1,0,5,1,1,6,15,15,15,1,1,0,144
38240195.000,1,0,5,1,1,6,15,15,15,1,1,0,145
38272195.000,1,0,5,1,1,6,15,15,15,1,1,0,146
38304195.000,1,0,5,1,1,6,15,15,15,1,1,0,147
38336195.000,1,0,5,1,1,6,15,15,15,1,1,0,148
38368195.000,1,0,5,1,1,6,15,15,15,1,1,0,149
38400195.000,1,0,5,1,1,6,15,15,15,1,1,0,150
38432195.000,1,0,5,1,1,6,15,15,15,1,1,0,151
38464195.000,1,0,5,1,1,6,15,15,15,1,1,0,152
38496195.000,1,0,5,1,1,6,15,15,15,1,1,0,153
38528195.000,1,0,5,1,1,6,15,15,15,1,1,0,154
38560195.000,1,0,5,1,1,6,15,15,15,1,1,0,155
38592195.000,1,0,5,1,1,6,15,15,15,1,1,0,156
38624195.000,1,0,5,1,1,6,15,15,15,1,1,0,157
38656195.000,1,0,5,1,1,6,15,15,15,1,1,0,158
38688195.000,1,0,5,1,1,6,15,15,15,1,1,0,159
38720195.000,1,0,5,1,1,6,15,15,15,1,1,0,160
38752195.000,1,0,5,1,1,6,15,15,15,1,1,0,161
38784195.000,1,0,5,1,1,6,15,15,15,1,1,0,162
38816195.000,1,0,5,1,1,6,15,15,15,1,1,0,163
38848195.000,1,0,5,1,1,6,15,15,15,1,1,0,164
38880195.000,1,0,5,1,1,6,15,15,15,1,1,0,165
38912195.000,1,0,5,1,1,6,15,15,15,1,1,0,166
38944195.000,1,0,5,1,1,6,15,15,15,1,1,0,167
38976195.000,1,0,5,1,1,6,15,15,15,1,1,0,168
39008195.000,1,0,5,1,1,6,15,15,15,1,1,0,169
39040195.000,1,0,5,1,1,6,15,15,15,1,1,0,170
39072195.000,1,0,5,1,1,6,15,15,15,1,1,0,171
39104195.000,1,0,5,1,1,6,15,15,15,1,1,0,172
39136195.000,1,0,5,1,1,6,15,15,15,1,1,0,173
39168195.000,1,0,5,1,1,6,15,15,15,1,1,0,174
39200195.000,1,0,5,1,1,6,15,15,15,1,1,0,175
39232195.000,1,0,5,1,1,6,15,15,15,1,1,0,176
39264195.000,1,0,5,1,1,6,15,15,15,1,1,0,177
39296195.000,1,0,5,1,1,6,15,15,15,1,1,0,178
39328195.000,1,0,5,1,1,6,15,15,15,1,1,0,179
39360195.000,1,0,5,1,1,6,15,15,15,1,1,0,180
39392195.000,1,0,5,1,1,6,15,15,15,1,1,0,181
39424195.000,1,0,5,1,1,6,15,15,15,1,1,0,182
39456195.000,1,0,5,1,1,6,15,15,15,1,1,0,183
39488195.000,1,0,5,1,1,6,15,15,15,1,1,0,184
39520195.000,1,0,5,1,1,6,15,15,15,1,1,0,185
39552195.000,1,0,5,1,1,6,15,15,15,1,1,0,186
39584195.000,1,0,5,1,1,6,15,15,15,1,1,0,187
39616195.000,1,0,5,1,1,6,15,15,15,1,1,0,188
39648195.000,1,0,5,1,1,6,15,15,15,1,1,0,189
39680195.000,1,0,5,1,1,6,15,15,15,1,1,0,190
39712195.000,1,0,5,1,1,6,15,15,15,1,1,0,191
39744195.000,1,0,5,1,1,6,15,15,15,1,1,0,192
39776195.000,1,0,5,1,1,6,15,15,15,1,1,0,193
39808195.000,1,0,5,1,1,6,15,15,15,1,1,0,194
39840195.000,1,0,5,1,1,6,15,15,15,1,1,0,195
39872195.000,1,0,5,1,1,6,15,15,15,1,1,0,196
39904195.000,1,0,5,1,1,6,15,15,15,1,1,0,197
39936195.000,1,0,5,1,1,6,15,15,15,1,1,0,198
39968195.000,1,0,5,1,1,6,15,15,15,1,1,0,199
40000195.000,1,0,5,1,1,6,15,15,15,1,1,0,200
40032195.000,1,0,5,1,1,6,15,15,15,1,1,0,201
40064195.000,1,0,5,1,1,6,15,15,15,1,1,0,202
40096195.000,1,0,5,1,1,6,15,15,15,1,1,0,203
40128195.000,1,0,5,1,1,6,15,15,15,1,1,0,204
40160195.000,1,0,5,1,1,6,15,15,15,1,1,0,205
40192195.000,1,0,5,1,1,6,15,15,15,1,1,0,206
40224195.000,1,0,5,1,1,6,15,15,15,1,1,0,207
40256195.000,1,0,5,1,1,6,15,15,15,1,1,0,208
40288195.000,1,0,5,1,1,6,15,15,15,1,1,0,209
40320195.000,1,0,5,1,1,6,15,15,15,1,1,0,210
40352195.000,1,0,5,1,1,6,15,15,15,1,1,0,211
40384195.000,1,0,5,1,1,6,15,15,15,1,1,0,212
40416195.000,1,0,5,1,1,6,15,15,15,1,1,0,213
40448195.000,1,0,5,1,1,6,15,15,15,1,1,0,214
40480195.000,1,0,5,1,1,6,15,15,15,1,1,0,215
40512195.000,1,0,5,1,1,6,15,15,15,1,1,0,216
40544195.000,1,0,5,1,1,6,15,15,15,1,1,0,217
40576195.000,1,0,5,1,1,6,15,15,15,1,1,0,218
40608195.000,1,0,5,1,1,6,15,15,15,1,1,0,219
40640195.000,1,0,5,1,1,6,15,15,15,1,1,0,220
40672195.000,1,0,5,1,1,6,15,15,15,1,1,0,221
40704195.000,1,0,5,1,1,6,15,15,15,1,1,0,222
40736195.000,1,0,5,1,1,6,15,15,15,1,1,0,223
40768195.000,1,0,5,1,1,6,15,15,15,1,1,0,224
40800195.000,1,0,5,1,1,6,15,15,15,1,1,0,225
40832195.000,1,0,5,1,1,6,15,15,15,1,1,0,226
40864195.000,1,0,5,1,1,6,15,15,15,1,1,0,227
40896195.000,1,0,5,1,1,6,15,15,15,1,1,0,228
40928195.000,1,0,5,1,1,6,15,15,15,1,1,0,229
40960195.000,1,0,5,1,1,6,15,15,15,1,1,0,230
40992195.000,1,0,5,1,1,6,15,15,15,1,1,0,231
41024195.000,1,0,5,1,1,6,15,15,15,1,1,0,232
41056195.000,1,0,5,1,1,6,15,15,15,1,1,0,233
41088195.000,1,0,5,1,1,6,15,15,15,1,1,0,234
41120195.000,1,0,5,1,1,6,15,15,15,1,1,0,235
41152195.000,1,0,5,1,1,6,15,15,15,1,1,0,236
41184195.000,1,0,5,1,1,6,15,15,15,1,1,0,237
41216195.000,1,0,5,1,1,6,15,15,15,1,1,0,238
41248195.000,1,0,5,1,1,6,15,15,15,1,1,0,239
41280195.000,1,0,5,1,1,6,15,15,15,1,1,0,240
41312195.000,1,0,5,1,1,6,15,15,15,1,1,0,241
41344195.000,1,0,5,1,1,6,15,15,15,1,1,0,242
41376195.000,1,0,5,1,1,6,15,15,15,1,1,0,243
41408195.000,1,0,5,1,1,6,15,15,15,1,1,0,244
41440195.000,1,0,5,1,1,6,15,15,15,1,1,0,245
41472195.000,1,0,5,1,1,6,15,15,15,1,1,0,246
41504195.000,1,0,5,1,1,6,15,15,15,1,1,0,247
41536195.000,1,0,5,1,1,6,15,15,15,1,1,0,248
41568195.000,1,0,5,1,1,6,15,15,15,1,1,0,249
41600195.000,1,0,5,1,1,6,15,15,15,1,1,0,250
41632195.000,1,0,5,1,1,6,15,15,15,1,1,0,251
41664195.000,1,0,5,1,1,6,15,15,15,1,1,0,252
41696195.000,1,0,5,1,1,6,15,15,15,1,1,0,253
41728195.000,1,0,5,1,1,6,15,15,15,1,1,0,254
41760195.000,1,0,5,1,1,6,15,15,15,1,1,0,255
